# {"t_start": 1782311387.5549908, "env_id": "PctContinuous-v0"} 
r,l,t
11.902618,89,13275.582856
10.964153,81,13291.020091
11.661324,84,13306.896982
11.556553,84,13322.479439
10.731908,79,13336.849401
12.581779,92,13353.579099
11.982654,88,13370.48052
11.352432,85,13386.570182
11.719742,84,13401.733972
11.179116,79,13416.447357
11.213963,82,13431.545019
11.827814,85,13447.29087
11.901267,90,13463.409998
12.515451,90,13479.713941
12.719157,94,13496.352826
11.606295,82,13511.437232
12.577334,92,13528.580542
12.204097,88,13544.058822
11.687242,83,13559.468127
11.078806,80,13574.241172
11.840951,83,13588.653597
11.636998,86,13604.680169
12.284239,89,13620.868198
12.577922,93,13638.590589
12.959666,92,13655.51845
11.688872,85,13671.207148
11.531918,84,13686.13122
11.510973,88,13702.209635
11.626029,84,13717.516918
12.038437,86,13732.540694
11.182532,78,13746.874962
11.52296,85,13762.411496
11.938447,88,13778.433861
11.343314,80,13792.945482
11.661519,89,13809.38205
11.553446,85,13825.008954
11.878322,86,13841.175919
9.836159,73,13854.572595
12.64669,95,13871.803026
11.5262,85,13887.854981
11.735851,82,13902.743999
12.730847,97,13920.437515
11.593385,84,13936.522693
10.918759,78,13951.013297
11.624247,87,13967.302883
12.049826,86,13983.252
11.383426,82,13998.234195
11.333,81,14013.199698
11.847109,83,14028.400313
12.76966,94,14045.522104
12.044344,90,14061.883006
11.892409,92,14078.264045
12.942602,93,14095.338972
11.732878,85,14110.322003
12.57376,84,14125.860032
11.608679,84,14141.234056
10.865357,82,14156.029567
11.898346,88,14171.660641
13.016584,94,14188.837512
11.922457,86,14204.802023
11.538001,83,14219.565377
10.353481,77,14233.136477
12.378532,96,14250.879823
10.740848,77,14264.717523
12.180549,90,14281.014656
11.487899,83,14295.53596
11.750072,87,14311.187482
11.981161,89,14327.117997
11.986831,89,14343.522305
12.371843,86,14358.909951
11.742563,84,14374.018659
12.511796,92,14390.404023
11.827895,84,14406.32623
12.239995,91,14423.248953
10.884865,79,14437.419505
12.470764,90,14454.431192
12.713067,89,14470.132308
11.432826,83,14485.22797
10.491654,77,14499.733666
11.029077,76,14513.66327
11.109667,81,14528.716959
11.985519,88,14545.821996
11.793903,80,14560.383853
12.555247,91,14577.151444
-5.156446,20,14580.55648
11.897016,83,14595.55114
1.70921,79,14609.799994
12.187552,90,14626.79555
12.231185,90,14643.825093
12.026352,85,14659.155579
12.153728,88,14675.350975
10.975065,79,14690.19477
11.442747,83,14704.90917
12.742043,91,14721.772939
10.786861,81,14736.835258
11.195514,80,14751.581328
11.416061,85,14767.327825
11.402702,74,14780.636084
11.620337,81,14795.264105
11.273346,84,14810.78615
12.092136,87,14826.614447
12.232958,86,14841.843951
11.625411,85,14856.922749
11.746463,87,14873.791198
12.072511,91,14890.279268
12.777938,94,14907.745982
11.011144,83,14922.474495
11.369384,85,14938.254144
11.768929,87,14953.571976
11.128373,79,14967.365827
11.998928,86,14982.627143
11.89036,90,14998.835802
11.659256,85,15014.392148
12.130247,92,15031.159687
12.025439,83,15046.513641
12.566915,95,15063.420847
11.990936,84,15078.582489
11.929884,84,15094.226182
11.547403,86,15110.164741
11.420824,82,15125.611627
11.684832,86,15141.786448
11.480858,85,15157.757535
11.841048,87,15173.927393
12.850381,92,15190.982156
11.790363,83,15205.97436
11.829773,81,15221.218099
11.537021,82,15235.984319
11.237197,84,15251.476473
11.155186,82,15266.186796
11.768585,88,15281.878083
11.736066,87,15298.54303
11.934538,85,15314.075541
11.704999,84,15329.114517
11.973119,87,15344.803472
11.629775,88,15361.057605
12.412442,89,15377.848215
10.554018,74,15391.857789
11.095436,82,15407.53663
12.293135,86,15424.090019
12.00321,90,15439.97193
11.563084,83,15454.552156
12.917792,99,15472.300316
12.14987,88,15488.304895
11.535088,85,15504.55266
12.081778,88,15519.955246
12.011443,88,15536.054071
12.017555,88,15551.757637
12.703734,90,15568.035226
12.054693,89,15585.108452
11.802333,87,15601.582908
11.552846,87,15617.75385
12.280985,88,15633.876266
11.723903,82,15648.728924
11.086733,82,15663.594723
10.883408,79,15677.983487
11.303775,83,15692.894131
11.212833,84,15707.911751
11.669335,85,15724.076197
