# {"t_start": 1782311387.5549908, "env_id": "PctContinuous-v0"} 
r,l,t
11.784388,86,7092.226592
11.902314,85,7106.889362
12.125094,93,7122.958858
11.662032,85,7138.231048
12.182054,85,7153.103758
11.340949,75,7166.869629
12.591743,92,7183.487573
11.800777,88,7198.789615
12.284564,91,7214.62505
10.852139,79,7228.440524
10.747899,78,7242.48145
12.673605,96,7259.028304
11.771897,84,7273.892343
12.02512,91,7290.54967
11.366844,83,7305.867825
11.405074,77,7319.889833
11.38351,85,7334.90142
12.049384,85,7350.358363
11.014074,77,7363.890526
12.160254,89,7379.977807
13.158623,97,7397.767566
11.343074,84,7412.865362
10.034367,71,7425.471825
11.859257,90,7441.69797
12.05979,89,7457.430175
10.975375,82,7472.582117
11.059927,80,7487.399691
12.321757,86,7503.042669
10.931171,79,7517.532255
11.462386,87,7533.282348
11.582085,88,7548.900933
12.821055,97,7565.530418
10.991083,80,7579.869156
11.654333,88,7595.60576
12.159949,89,7611.768971
11.931444,83,7626.414891
11.641978,91,7642.155783
12.449839,94,7658.930357
11.547843,84,7674.462519
11.319259,84,7689.830723
11.375394,82,7704.686617
10.358274,75,7718.477054
11.851929,81,7733.614508
11.474017,86,7749.366779
10.868792,85,7764.651434
10.753503,75,7778.35262
11.674909,83,7793.730436
12.067421,86,7809.00153
11.852561,87,7824.166165
12.220366,83,7839.389469
11.608378,82,7854.38536
11.753164,86,7870.125317
11.403067,83,7885.329693
11.49615,84,7900.529478
12.286142,89,7916.730771
12.232028,89,7932.903771
11.081795,79,7947.052168
12.080197,90,7963.767645
11.588165,89,7981.49703
11.261459,80,7996.398012
11.093153,81,8011.778008
11.988689,93,8028.99227
11.166251,82,8044.538573
11.981121,90,8061.545143
10.790104,78,8075.878719
11.469526,81,8091.107365
11.607247,85,8106.893234
11.299724,79,8121.579422
11.516109,85,8136.607742
10.798335,75,8150.379849
11.983672,89,8166.900428
11.540689,88,8183.164479
11.654491,88,8199.225837
12.098494,86,8215.361392
10.741508,77,8229.681309
11.937027,87,8245.537151
11.572952,84,8261.130467
10.724565,80,8275.581691
10.766662,81,8291.127303
12.572324,93,8307.65617
8.976949,61,8318.630864
10.847246,74,8331.70357
11.755003,83,8346.952234
11.629083,79,8360.945471
11.562974,86,8377.460661
11.58557,87,8394.037111
11.457018,86,8410.037631
11.57903,88,8426.564055
10.811429,76,8440.620426
12.006955,85,8455.826065
11.5772,88,8471.804177
10.942951,80,8486.297235
11.062503,79,8500.157572
11.426798,87,8515.331657
11.725608,90,8531.895563
11.333716,84,8546.610089
11.37275,76,8560.024981
11.094849,81,8575.079558
12.395794,87,8590.759427
11.511578,78,8604.659672
11.244727,86,8620.303531
11.863322,84,8636.017953
11.686815,88,8651.989778
12.139833,87,8668.282562
10.562382,78,8681.668143
12.807688,93,8698.348707
12.237641,89,8714.813124
11.244171,84,8730.337792
11.888773,85,8746.326864
11.672544,83,8761.750887
11.750287,88,8777.748218
10.768014,78,8791.591966
11.43759,83,8806.400456
11.678485,89,8823.745951
11.452048,87,8839.228847
